Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
139,Battle of Ahvenkoski,https://en.wikipedia.org/wiki/Battle_of_Ahvenkoski,10-Apr,5 May 1918(3 weeks and 4 days),"Ahvenkoski, Finland",German–White victory,German Empire Finnish Whites,Red Finland,800,800–900,at least 13 killed,at least 13 killed,4/10/1918,5/5/1918,{'killed': [13.0]},{'killed': [13.0]},{'troops': [800.0]},{}
140,Meuse–Argonne offensive,https://en.wikipedia.org/wiki/Battle_of_the_Argonne_Forest,26-Sep,11-Nov-18,"Near Montfaucon, northwest of Verdun (present-day Grand Est region), France49°16′21″N 5°08′31″E﻿ / ﻿49.27250°N 5.14194°E﻿ / 49.27250; 5.14194",Allied victory  End of World War I,France United States Siam[1],Germany,"c. 2,000,000
 1,200,000 personnel[2]
380 tanks
840 planes
2,780 artillery pieces
 800,000 personnel
652 tanks
2,766 artillery pieces
 850 personnel[1]","450,000 personnel","192,000[3]
 122,063
26,277 dead
95,786 wounded
 70,000
35,000 killed
35,000 wounded
: 19 dead[1]","126,000[4]
28,000 dead
42,000 wounded
56,000 captured
26,000 taken by Americans
30,000 POWs taken by French
874 artillery pieces captured by both[5]",9/26/1918,11/11/1918,"{'dead': [26277.0, 19.0], 'wounded': [95786.0, 35000.0], 'killed': [35000.0]}","{'dead': [28000.0], 'wounded': [42000.0], 'captured': [56000.0], 'taken': [26000.0], 'pows': [30000.0], 'artillery': [874.0]}","{'personnel': [1200000.0, 800000.0, 850.0], 'tanks': [380.0, 652.0], 'planes': [840.0], 'artillery': [2780.0, 2766.0]}",{'personnel': [450000.0]}
141,Battle of St Quentin Canal,https://en.wikipedia.org/wiki/Battle_of_the_Hindenburg_Line,29-Sep,10-Oct-18,"Hindenburg Line, France49°58′30″N 3°13′54″E﻿ / ﻿49.97500°N 3.23167°E﻿ / 49.97500; 3.23167",Allied victory,"United Kingdom

 Australia
 United States",Germany,32 divisions: 30 British Empire; two American divisions[1],39 divisions[a],"8,802 (partial)[3][4] 13,182[5]  2,577[6]","36,000 POW[7]",9/29/1918,10/10/1918,{},{'pow': [36000.0]},"{'divisions': [32.0], 'british': [30.0]}",{'divisions': [39.0]}
142,Battle of Lempäälä,https://en.wikipedia.org/wiki/Battle_of_Lemp%C3%A4%C3%A4l%C3%A4,23-Mar,24 April 1918(1 month and 1 day),"Lempäälä, Finland",White victory,Finnish Whites Swedish Brigade,Finnish Reds,"2,500 to 4,000Unknown","500 to 5,000",194 fallen in combat2 Swedish Casualties,249 fallen in combat230–400 executed,3/23/1918,4/24/1918,"{'fallen': [194.0], 'swedish': [2.0]}","{'fallen': [249.0], 'executed': [400.0]}",{'to': [2500.0]},{'to': [500.0]}
143,Battle of Krithia Vineyard,https://en.wikipedia.org/wiki/Battle_of_Krithia_Vineyard,6,13-Aug-15,"40°04′41″N 26°12′58″E﻿ / ﻿40.078°N 26.216°E﻿ / 40.078; 26.216Helles, Gallipoli, Ottoman Empire",Ottoman victory,United Kingdom,Ottoman Empire,4 Divisions[1],6 Divisions[2],"4,120 total[2][3]","7,510 total[4][5]",8/6/1915,8/13/1915,"{'total': [4120.0, 4120.0]}","{'total': [7510.0, 7510.0]}",{'divisions': [4.0]},{'divisions': [6.0]}
144,Battle of Bazargic,https://en.wikipedia.org/wiki/Battle_of_Dobrich,5-Sep-16,7-Sep-16,"Bazargic, Kingdom of Romania (now Dobrich, Bulgaria)43°34′0″N 27°50′0″E﻿ / ﻿43.56667°N 27.83333°E﻿ / 43.56667; 27.83333",Central Powers victory,Central Powers: Bulgaria  Germany Ottoman Empire[1],Allied Powers:  Romania  Russian Empire Serbia,"23 battalions,10 artillery batteries, 17 cavalry squadrons","46 battalions,17 artillery batteries,19 cavalry squadrons","1,053 killed  2,324 wounded[2]",Unknown,9/5/1916,9/7/1916,"{'killed': [1053.0], 'wounded': [2324.0]}",{},"{'battalions': [23.0], 'artillery': [10.0], 'cavalry': [17.0]}","{'battalions': [46.0], 'artillery': [17.0], 'cavalry': [19.0]}"
145,Struma operation,https://en.wikipedia.org/wiki/Battle_of_Struma,,,,,,,,,,,8/17/1916,8/23/1916,{},{},{},{}
146,Battle of Cer,https://en.wikipedia.org/wiki/Battle_of_Cer,15,24 August 1914[a],Cer Mountain and surrounding towns and villages in the northwestern portion of the Kingdom of Serbia44°33′16″N 19°31′41″E﻿ / ﻿44.55444°N 19.52806°E﻿ / 44.55444; 19.52806,Serbian victory[4][5],Serbia,Austria-Hungary,"180,000","200,000","3,000–5,000 killed
15,000 wounded
Total : 18,000–20,000 casualties","6,000–10,000 killed
30,000 wounded
4,500 captured
46 guns captured
30 machine guns captured
140 ammunition wagons captured
Total : 40,500–45,500 casualties",8/15/1914,8/24/1914,"{'total': [18000.0], 'killed': [5000.0], 'wounded': [15000.0], 'casualties': [20000.0]}","{'total': [40500.0], 'killed': [10000.0], 'wounded': [30000.0], 'captured': [4500.0], 'guns': [46.0], 'machine': [30.0], 'ammunition': [140.0], 'casualties': [45500.0]}",{'troops': [180000.0]},{'troops': [200000.0]}
147,Battle of Passchendaele,https://en.wikipedia.org/wiki/Third_Battle_of_Ypres,31-Jul,"10 November 1917(3 months, 1 week and 3 days)","Passchendaele, Ypres Salient, Belgium50°54′1″N 3°1′16″E﻿ / ﻿50.90028°N 3.02111°E﻿ / 50.90028; 3.02111﻿ (Passendale)",See Analysis section,"British Empire
 United Kingdom
 Canada
 Australia
 New Zealand
 South Africa
 India
 Newfoundland
 Rhodesia

 France Belgium",Germany,50 divisions 6 divisions,77–83 divisions,"240,000–448,614(disputed, see Casualties section)","217,000–400,000including 24,065 prisoners (disputed, see Casualties section)",7/31/1917,11/10/1917,{},"{'including': [400000.0], 'prisoners': [24065.0]}","{'divisions': [50.0, 6.0]}","{'divisions': [77.0, 83.0]}"
148,Battle of the Drina,https://en.wikipedia.org/wiki/Battle_of_Drina,7,24 September 1914[1],Drina River44°19′46.56″N 19°17′33.07″E﻿ / ﻿44.3296000°N 19.2925194°E﻿ / 44.3296000; 19.2925194,Inconclusive[2] Austro-Hungarian invasion stopped[1] Serbs suspend offensive into Syrmia[1],Austria-Hungary,"Serbia
 Montenegro","Fifth Army
Sixth Army","Second Army
Third Army","40,000[3]","30,000[3]",9/7/1914,9/24/1914,{},{},{},{}
149,Battle of Karakilisa,https://en.wikipedia.org/wiki/Battle_of_Karakilisa,25-May,"28, 1918","Vanadzor, Armenia",Armenian victory[1],Armenia,Ottoman Empire,"6,00070 cannons and 20 Machine guns","10,00070 Cannons and 40 Machine Guns","1,000 dead and captured",Heavy,5/25/1918,5/28/1918,{'dead': [1000.0]},{},"{'cannons': [600070.0], 'machine': [20.0]}","{'cannons': [1000070.0], 'machine': [40.0]}"
150,Battle of Tannenberg,https://en.wikipedia.org/wiki/Battle_of_Tannenberg,23,30-Aug-14,"Tannenberg, East Prussia, German Empire (present-day Poland)53°29′45″N 20°08′4″E﻿ / ﻿53.49583°N 20.13444°E﻿ / 53.49583; 20.13444",German victory,German Empire,Russian Empire,"150,000[1]294 machine guns728 guns and howitzers","123,000[2]–180,000[1]384 machine guns612 guns and howitzers","21–30 August:13,873+ [3]  • 1,726+ killed • 7,461 wounded •  4,686 missingOther estimate: about 30,000 dead and wounded[4][5][6][7]","70,000–120,219 killed, wounded or captured[8][9][10]

See casualties",8/23/1914,8/30/1914,"{'august': [30.0], 'wounded': [7461.0], 'missingother': [4686.0], 'dead': [30000.0]}",{'killed': [120219.0]},"{'machine': [150000294.0], 'guns': [728.0]}","{'machine': [123000.0, 180000384.0], 'guns': [612.0]}"
151,Battle of the Lys (1918),https://en.wikipedia.org/wiki/Battle_of_the_Lys_(1918),7,29 April 1918 (1918-04-07,"Flanders, Belgium to northeast France50°42′20″N 2°54′00″E﻿ / ﻿50.70556°N 2.90000°E﻿ / 50.70556; 2.90000",See Analysis section,"United Kingdom
    Australia
    Canada
    Newfoundland
    New Zealand
    South Africa
 France
 Portugal
 Belgium
 United States
[1]",Germany,Unknown,"35 divisions (~612,500)","118,300–119,040 118 guns60 aircraft","86,000–109,300 8 aircraft including the Red Baron",4/7/1918,4/29/1918,"{'guns': [118.0], 'aircraft': [60.0]}",{'aircraft': [8.0]},{},{'divisions': [35.0]}
152,Battle of Sandfontein,https://en.wikipedia.org/wiki/Battle_of_Sandfontein,26 September 1914[1],26 September 1914[1],"Sandfontein, German South West Africa[1]28°41′05″S 18°31′00″E﻿ / ﻿28.68472°S 18.51667°E﻿ / -28.68472; 18.51667",German victory[1],"Germany

 German Southwest Africa",South Africa,"1,700 soldiers10 artillery pieces4 machine guns[1]",237 officers and soldiers2 cavalry squadrons2 artillery pieces2 machine guns[3],14 killed46 wounded[2],16 killed51 wounded205 captured[2],9/26/1914,9/26/1914,"{'killed': [14.0], 'wounded': [46.0]}","{'killed': [16.0], 'wounded': [51.0], 'captured': [205.0]}","{'soldiers': [1700.0], 'artillery': [10.0], 'machine': [4.0]}","{'officers': [237.0], 'cavalry': [2.0], 'artillery': [2.0], 'machine': [2.0]}"
153,Battle of Çapakçur,https://en.wikipedia.org/wiki/Battle_of_%C3%87apak%C3%A7ur,2,7-Aug-16,Bingöl,Ottoman victory,Ottoman Empire,Russian Empire,,,Unknown,Unknown,8/2/1916,8/7/1916,{},{},{},{}
154,Second Battle of Morlancourt,https://en.wikipedia.org/wiki/Second_Battle_of_Morlancourt,4,14-May-18,"Morlancourt, France49°57′06″N 2°37′46″E﻿ / ﻿49.9517°N 2.6294°E﻿ / 49.9517; 2.6294",Allied victory,Australia United Kingdom,German Empire,,,324 killed and wounded,218 captured  Unknown killed and wounded,5/4/1918,5/14/1918,{'killed': [324.0]},{'captured': [218.0]},{},{}
155,Battle of Pakosław,https://en.wikipedia.org/wiki/Battle_of_Pakoslaw,19,20-May-15,"Pakosław, Masovian Voivodeship, Congress Poland, Russian Empire",Russian victory and withdrawal,"Russian Empire

 Congress Poland",German Empire,"Up to 1,000",Unknown,"42 killed, 60 wounded and 11 missing",Unknown,5/19/1915,5/20/1915,"{'killed': [42.0], 'wounded': [60.0], 'missing': [11.0]}",{},{},{}
156,Battle of Dilman,https://en.wikipedia.org/wiki/Battle_of_Dilman,15-Apr-15,15-Apr-15,"Dilman, Qajar Iran",Russian victory[1][2],"Russian Empire

Armenian volunteer units
Armenian fedayi
Assyrian volunteers",Ottoman Empire,10 battalions of Russian Caucasus Army  1 battalion of Armenian volunteers,"248 Officers10,920 troops12,000 irregular Kurdish cavalry[1]",Unknown,"3,500 killed[1]",4/15/1915,4/15/1915,{},{'killed': [3500.0]},"{'battalions': [10.0], 'battalion': [1.0]}","{'officers': [248.0], 'troops': [10920.0], 'irregular': [12000.0]}"
157,Battle of Åland Islands,https://en.wikipedia.org/wiki/Battle_of_%C3%85land_Islands,2 July [O.S. 19 June] 1915,2 July [O.S. 19 June] 1915,"off Gotland, Sweden near Åland",Anglo-Russian victory,"German Empire
 Imperial Navy","Russian Empire
 Imperial Navy

 United Kingdom",3 armored cruisers1 cruiser2 light cruisers7 torpedo boats,3 armored cruisers2 light cruisers1 destroyer1 submarine,2 armored cruisers damaged1 cruiser grounded 27 dead and 49 wounded,Minor damages,7/2/1915,7/2/1915,"{'armored': [2.0], 'cruiser': [1.0], 'dead': [27.0], 'wounded': [49.0]}",{},"{'armored': [3.0], 'cruiser': [1.0], 'light': [2.0], 'torpedo': [7.0]}","{'armored': [3.0], 'light': [2.0], 'destroyer': [1.0], 'submarine': [1.0]}"
158,Battle of Thiepval Ridge,https://en.wikipedia.org/wiki/Battle_of_Thiepval_Ridge,26,28-Sep-16,"Thiepval, France and vicinity50°3′16.3″N 2°41′18.2″E﻿ / ﻿50.054528°N 2.688389°E﻿ / 50.054528; 2.688389",British victory,"British Empire

 Canada
 United Kingdom
 France",German Empire,6 divisions,3 divisions,"12,500","2,300–2,329 prisoners",9/26/1916,9/28/1916,{},{'prisoners': [2329.0]},{'divisions': [6.0]},{'divisions': [3.0]}
159,Battle of Sarikamish,https://en.wikipedia.org/wiki/Battle_of_Sarikamish,22-Dec-14,17-Jan-15,"Sarikamish, Kars Oblast, Russian Empire40°20′17″N 42°34′23″E﻿ / ﻿40.3381°N 42.573°E﻿ / 40.3381; 42.573",Russian victory[1],"Russian Empire

Armenian volunteers",Ottoman EmpireSupported by: German Empire,"78,000[2]","Turkish estimate:100,000[3][4]Russian estimate: 90,000[5] to 150,000[6] people and 244 guns in battle190,000 people and 300 guns in total[7]","Russo-English sources:20,000–28,000[8][9][a] killed, wounded, and frostbitten","Turkish-German sources:60,000[10]–78,000[11] killed, wounded, frostbitten, and captured[5]Russian–French sources:90,000 casualties[6][12]including: 28,000 KIA and 18,000 POWs[b]",12/22/1914,1/17/1915,{'killed': [28000.0]},"{'killed': [78000.0], 'casualtiesincluding': [90000.0], 'kia': [28000.0], 'pows': [18000.0]}",{'troops': [78000.0]},"{'to': [90000.0], 'people': [150000.0, 190000.0], 'guns': [244.0, 300.0]}"
160,Second Battle of Oituz,https://en.wikipedia.org/wiki/Second_Battle_of_Oituz,10,16-Nov-16,"Border of Austria-Hungary and Romania (today in Bacău and Covasna counties, eastern Romania)",Romanian victory,Romania,Austria-Hungary Germany,"15th Infantry Division
Detachments from 2nd Cavalry Division
Detachments from 8th Infantry Division","71st Austro-Hungarian Infantry Division
1st Austro-Hungarian Cavalry Division
8th Bavarian Reserve Division",,,11/10/1916,11/16/1916,{},{},{},{}
161,Battle of Cantigny,https://en.wikipedia.org/wiki/Battle_of_Cantigny,28-May-18,28-May-18,Cantigny49°39′50″N 2°29′28″E﻿ / ﻿49.664°N 2.491°E﻿ / 49.664; 2.491,Allied victory,United States France,German Empire,"~4,000",Unknown,"1,603 casualties (318 killed[1])","1,400 killed and wounded [2]250 captured[3]",5/28/1918,5/28/1918,"{'casualties': [1603.0], 'killed': [318.0]}","{'killed': [1400.0], 'captured': [250.0]}",{'troops': [4000.0]},{}
162,Battle of Chunuk Bair,https://en.wikipedia.org/wiki/Battle_of_Chunuk_Bair,7,19-Aug-15,"Chunuk Bair, Gallipoli, Ottoman Empire",Ottoman victory,"British Empire

 Australia
 New Zealand
 United Kingdom","Ottoman Empire

 German Empire (military officers)","15,000 men","19th Division9th Division(20,000–30,000 men)","12,000–13,000[1]","9,200[1]",8/7/1915,8/19/1915,{},{},{'troops': [15000.0]},"{'troops': [20000.0, 30000.0]}"
163,Battle of Otavi,https://en.wikipedia.org/wiki/Battle_of_Otavi,1-Jul-15,1-Jul-15,"Otavi, German South West Africa19°39′20″S 17°23′10″E﻿ / ﻿19.65556°S 17.38611°E﻿ / -19.65556; 17.38611",South African victory,"Germany

 German Southwest Africa",South Africa,"1,00010 machine guns","3,500",3 killed8 wounded20 captured[1],4 killed7 wounded[2],7/1/1915,7/1/1915,"{'killed': [3.0], 'wounded': [8.0], 'captured': [20.0]}","{'killed': [4.0], 'wounded': [7.0]}",{'machine': [100010.0]},{'troops': [3500.0]}
164,Battle of Tepe,https://en.wikipedia.org/wiki/Battle_of_Tepe,25-Aug-14,25-Aug-14,"Tepe, German Kamerun",British victory,"British Empire

 British Nigeria","Germany

 German Kamerun",Unknown,Unknown,2 officers[2],5 officers[3],8/25/1914,8/25/1914,{'officers': [2.0]},{'officers': [5.0]},{},{}
165,Battle of the Gulf of Riga,https://en.wikipedia.org/wiki/Battle_of_the_Gulf_of_Riga,8,20-Aug-15,"Gulf of Riga, Baltic Sea",Entente victory,"Russian Empire
 Imperial Navy
 United Kingdom
 Royal Navy","Germany
 Imperial Navy",1 battleship  1 armoured cruiser  16 destroyers  4 gunboats  1 minelayer  6 submarines,4 battleships  3 battlecruisers  1 armoured cruiser  5 light cruisers  56 torpedo boats  14 minesweepers,"150 killed, wounded and captured  2 gunboats sunk  1 battleship damaged  1 destroyer damaged",65 killed and wounded  1 torpedo boat sunk  2 minesweepers sunk  1 battlecruiser damaged,8/8/1915,8/20/1915,"{'killed': [150.0], 'gunboats': [2.0], 'battleship': [1.0], 'destroyer': [1.0]}","{'killed': [65.0], 'torpedo': [1.0], 'minesweepers': [2.0], 'battlecruiser': [1.0]}","{'battleship': [1.0], 'armoured': [1.0], 'destroyers': [16.0], 'gunboats': [4.0], 'minelayer': [1.0], 'submarines': [6.0]}","{'battleships': [4.0], 'battlecruisers': [3.0], 'armoured': [1.0], 'light': [5.0], 'torpedo': [56.0], 'minesweepers': [14.0]}"
166,Battle of the Sambre (1918),https://en.wikipedia.org/wiki/Battle_of_the_Sambre_(1918),4-Nov-18,4-Nov-18,"River Sambre, France",Allied victory,"British Empire

 United Kingdom
 Canada
 New Zealand
 France United States",German Empire,"17 divisions 11 divisions Unknown

37 tanks",17th Army 2nd Army,Unknown,Unknown,11/4/1918,11/4/1918,{},{},"{'divisions': [17.0, 11.0], 'tanks': [37.0]}",{}
167,Battle of Kosturino,https://en.wikipedia.org/wiki/Battle_of_Kosturino,6,12-Dec-15,"Kosturino, Kingdom of Serbia (present-day North Macedonia)",Bulgarian victory,Bulgaria,"United Kingdom
 France",1 army,2 divisions,400+ killed,"99 killed
386 wounded
724 missing
10 guns lost
 1,804 casualties
12 machine guns lost
36 ammunition wagons lost",12/6/1915,12/12/1915,{},"{'killed': [99.0], 'wounded': [386.0], 'missing': [724.0], 'guns': [10.0], 'casualties': [1804.0], 'machine': [12.0], 'ammunition': [36.0]}",{'army': [1.0]},{'divisions': [2.0]}
168,Battle of Doiran (1918),https://en.wikipedia.org/wiki/Battle_of_Doiran_(1918),18,19-Sep-18,"Doiran Lake, Kingdom of Serbia (present-day Greece and Republic of North Macedonia)",Bulgarian Victory,"Entente Powers:
 United Kingdom
 Greece","Central Powers
 Bulgaria
 IMRO","45,672
 29,328[a]
Total: 75,000","35,000[1]","3,155–3,871[2][3][4]
 3,404–3,948 (official numbers)[2][3]
Total: 6,559–7,819","2,726[5]",9/18/1918,9/19/1918,{'total': [6559.0]},{},"{'total': [29328.0, 29328.0]}",{'troops': [35000.0]}
169,Battle of the Lys (1918),https://en.wikipedia.org/wiki/Fourth_Battle_of_Ypres,7,29 April 1918 (1918-04-07,"Flanders, Belgium to northeast France50°42′20″N 2°54′00″E﻿ / ﻿50.70556°N 2.90000°E﻿ / 50.70556; 2.90000",See Analysis section,"United Kingdom
    Australia
    Canada
    Newfoundland
    New Zealand
    South Africa
 France
 Portugal
 Belgium
 United States
[1]",Germany,Unknown,"35 divisions (~612,500)","118,300–119,040 118 guns60 aircraft","86,000–109,300 8 aircraft including the Red Baron",4/7/1918,4/29/1918,"{'guns': [118.0], 'aircraft': [60.0]}",{'aircraft': [8.0]},{},{'divisions': [35.0]}
170,Fifth Battle of the Isonzo,https://en.wikipedia.org/wiki/Fifth_Battle_of_the_Isonzo,9,15-Mar-16,"Soča river, western Slovenia",Inconclusive,Italy,Austria-Hungary,"286 battalions (plus 90 in reserve)1,360 guns",100 battalions (plus 30 in reserve)470 guns,"1,882 killed, wounded and missing","1,985 killed and wounded",3/9/1916,3/15/1916,{'killed': [1882.0]},{'killed': [1985.0]},"{'battalions': [286.0], 'troops': [90.0], 'guns': [1360.0]}","{'battalions': [100.0], 'troops': [30.0], 'guns': [470.0]}"
171,Battle of Épehy,https://en.wikipedia.org/wiki/Battle_of_Ep%C3%A9hy,18-Sep-18,18-Sep-18,"Épehy, France",Allied victory,"British Empire

 United Kingdom
 Australia
 France",German Empire,"12 divisions[1]1,500 artillery pieces",At least 6 divisions[2],"Total: unknown  1,260 men (265 killed, 1,059 wounded)[3]","Total: unknown Captured: 11,750 men and 100 artillery pieces",9/18/1918,9/18/1918,"{'men': [1260.0], 'killed': [265.0], 'wounded': [1059.0]}","{'men': [11750.0], 'artillery': [100.0]}","{'divisions': [12.0], 'artillery': [1500.0]}",{'divisions': [6.0]}
172,Battle of Albert (1914),https://en.wikipedia.org/wiki/Battle_of_Albert_(1914),25,29-Sep-14,"Somme, Picardy, France50°01′N 2°41′E﻿ / ﻿50.01°N 2.69°E﻿ / 50.01; 2.69",Inconclusive,France,German Empire,Second Army,6th Army,,,9/25/1914,9/29/1914,{},{},{},{}
173,Battle of Nagyszeben (1916),https://en.wikipedia.org/wiki/Battle_of_Nagyszeben_(1916),26,29-Sep-16,"Southeastern Transylvania, Austria-Hungary (Szeben, Fogaras and Nagy-Küküllő counties) and  northwestern Wallachia, Romania (Vâlcea and Argeș counties)",Decisive Central Powers victory[1][2],Romania,German Empire Austria-Hungary,"I Corps:20,000+ (25 battalions of over 800 men)16 batteries (2 heavy)3 aircraft (1 operational)Toma Popescu Detachment (26 June):1 Jäger battalion2 howitzers1 militia platoon (15 men)","XXXIX Corps:17,500–21,000 (35 battalions of 500–600 men)54 batteries (13 heavy)Alpine Corps:9 battalions2 mountain batteries","I Corps (1st Army):3,000 prisoners13 guns captured6 machine-guns captured2 aircraft captured2nd Army:Unknown total1 aircraft captured",Unknown total300 prisoners (28–29 September),9/26/1916,9/29/1916,"{'total': [1.0], 'prisoners': [3000.0], 'guns': [13.0], 'machine': [6.0], 'aircraft': [2.0], 'nd': [2.0]}","{'total': [300.0], 'september': [29.0]}","{'battalions': [25.0], 'troops': [800.0, 15.0], 'batteries': [16.0], 'heavy': [2.0], 'aircraft': [3.0], 'operational': [1.0], 'j': [1.0], 'howitzers': [2.0], 'militia': [1.0]}","{'battalions': [35.0, 9.0], 'troops': [500.0, 600.0], 'batteries': [54.0], 'heavy': [13.0], 'mountain': [2.0]}"
174,Battle of Kara Killisse (1915),https://en.wikipedia.org/wiki/Battle_of_Kara_Killisse,27,31-Jul-15,"Kara Killisse, Erzurum Vilayet, Ottoman Empire",Russian victory[1][2],Russian Empire,Ottoman Empire,"Russian Caucasus Army40,000","Third Army60,000[3]",Unknown,"16,000–20,000[a]12 guns",7/27/1915,7/31/1915,{},{'guns': [2000012.0]},{},{}
175,Battle of Laski and Anielin,https://en.wikipedia.org/wiki/Battle_of_Laski_and_Anielin,22-Oct,"26, 1914","Anielin and Laski, Congress Poland, Russian Empire",Russian victory,Austria-Hungary(Polish Legions),Russian Empire,,,Unknown,Unknown,10/22/1914,10/26/1914,{},{},{},{}
176,Battle of Amara,https://en.wikipedia.org/wiki/Battle_of_Amara,31-May,3-Jun-15,"Amara, Iraq",British victory,"British Empire

 India
 United Kingdom",Ottoman Empire,,,4 killed  21 wounded[1],"120 killed or wounded  1,773 captured[1]",5/31/1915,6/3/1915,"{'killed': [4.0], 'wounded': [21.0]}","{'killed': [120.0], 'captured': [1773.0]}",{},{}
177,Battle of Sardarabad,https://en.wikipedia.org/wiki/Battle_of_Sardarabad,21,29-May-18,"Near Sardarapat (present-day Nor Armavir, Armenia)40°05′36″N 43°56′46″E﻿ / ﻿40.09333°N 43.94611°E﻿ / 40.09333; 43.94611",Armenian victory,"Armenian National Council

Armenian Army Corps",Ottoman Empire,"9,000[n 1]","30,000–33,000[n 2]Including Kurdish cavalry 1,500–3,00040 cannons",Unknown,"5,500 dead alone from 22 to 26 May[6][7]",5/21/1918,5/29/1918,{},"{'dead': [5500.0], 'to': [22.0], 'may': [26.0]}",{'troops': [9000.0]},"{'cannons': [1500.0, 300040.0]}"
178,Tenth Battle of the Isonzo,https://en.wikipedia.org/wiki/Tenth_Battle_of_the_Isonzo,12-May,8-Jun-17,"Soča Valley, Slovenia",Austro-Hungarian victory,Italy,Austria-Hungary,"400,000[1]","200,000[2]","150,000 (35,000 killed)","125,000 (17,000 killed)[3]",5/12/1917,6/8/1917,{'killed': [35000.0]},{'killed': [17000.0]},{'troops': [400000.0]},{'troops': [200000.0]}
179,Battle of the Southern Carpathians,https://en.wikipedia.org/wiki/Battle_of_the_Southern_Carpathians,12-Oct,1-Nov-16,"Southern Carpathians, at the border between Romania and Austria-Hungary",Romanian strategic victory,Romania,German Empire Austria-Hungary,,,Unknown,"1,600+ killed1,900+ captured8 guns and two howitzer batteries captured14 machine guns captured",10/12/1916,11/1/1916,{},"{'guns': [8.0], 'machine': [14.0]}",{},{}
180,Battle of Mount Hamrin,https://en.wikipedia.org/wiki/Battle_of_Jebel_Hamlin,25-Mar-17,25-Mar-17,"Near Mount Hamrin and the Diyala River, Baghdad Vilayet, Ottoman Empire (modern Diyala Governorate, Iraq)",Ottoman victory,"British Empire

 India
 United Kingdom",Ottoman Empire,"8,000 men","4,500 men  20 guns","1,200 men","Unknown, less than British Empire",3/25/1917,3/25/1917,{'men': [1200.0]},{},{'troops': [8000.0]},"{'troops': [4500.0], 'guns': [20.0]}"
181,Battle of Choloki (1918),https://en.wikipedia.org/wiki/Battle_of_Choloki_(1918),8-Apr-18,8-Apr-18,Choloki,Transcaucasian victory,Transcaucasian Commissariat,Ottoman Empire,400 People's Guards armored train with 90 soldiers4 machine guns6 artillery pieces,"7,000 soldiers",4 dead  25 wounded,80 dead  600 wounded  2 prisoners  20 guns,4/8/1918,4/8/1918,"{'dead': [4.0], 'wounded': [25.0]}","{'dead': [80.0], 'wounded': [600.0], 'prisoners': [2.0], 'guns': [20.0]}","{'people': [400.0], 'soldiers': [90.0], 'machine': [4.0], 'artillery': [6.0]}",{'soldiers': [7000.0]}
182,Battle of Abaran,https://en.wikipedia.org/wiki/Battle_of_Bash_Abaran,23-May,"29,[1][2] 1918","Bash Abaran, Armenia40°35′20.810″N 44°21′25.970″E﻿ / ﻿40.58911389°N 44.35721389°E﻿ / 40.58911389; 44.35721389",Armenian victory[1],Armenian National Council,Ottoman Empire,"1,000","~13,000[1]",,,5/23/1918,5/29/1918,{},{},{'troops': [1000.0]},{'troops': [13000.0]}
183,Battle of Gorizia (1916),https://en.wikipedia.org/wiki/Battle_of_Gorizia,4,16-Aug-16,"Isonzo, Gorizia and Karst Plateau",Italian victory,Italy,Austria-Hungary,203 battalions[1],106 battalions[1],"51,221[2][nb 1]6,310 killed32,784 wounded12,127 missing","37,458[2][nb 2]3,719 killed19,910 wounded13,829 missing",8/4/1916,8/16/1916,"{'killed': [512216310.0], 'wounded': [32784.0], 'missing': [12127.0]}","{'killed': [374583719.0], 'wounded': [19910.0], 'missing': [13829.0]}",{'battalions': [203.0]},{'battalions': [106.0]}
184,First Battle of the Isonzo,https://en.wikipedia.org/wiki/First_Battle_of_the_Isonzo,23-Jun,7-Jul-15,"Isonzo river, north-west Slovenia from the mountain Krn to the Gulf of Trieste",Inconclusive,Italy,Austria-Hungary,"225,000: (18 divisions252 battalions111 cavalry squadrons700 guns)","115,000: (8 divisions84 battalions13 cavalry squadrons356 guns)","15,000[1]","10,000[1]",6/23/1915,7/7/1915,{},{},"{'divisions': [18.0], 'battalions': [252.0], 'cavalry': [111.0], 'guns': [700.0]}","{'divisions': [8.0], 'battalions': [84.0], 'cavalry': [13.0], 'guns': [356.0]}"
185,Action of 10 May 1915,https://en.wikipedia.org/wiki/Battle_of_the_Bosporus_(1915),10-May-15,10-May-15,"Black Sea, 25 miles from the Bosphorus",Indecisive  Russian operations disrupted,Russian Empire,Ottoman Empire,5 pre-dreadnought battleships,1 battlecruiser,,1 battlecruiser lightly damaged,5/10/1915,5/10/1915,{},{'battlecruiser': [1.0]},{'pre': [5.0]},{'battlecruiser': [1.0]}
